"Location","Equipment","Name","Type","I/O Type","Min/Max","Locked","GQL Path"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","RD1_FAIL_TO_CLS","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/rd1_fail_to_cls"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","RD1_FAIL_TO_OPN","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/rd1_fail_to_opn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","RD2_FAIL_TO_CLS","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/rd2_fail_to_cls"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","RD2_FAIL_TO_OPN","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/rd2_fail_to_opn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SAT_HI","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/sat_hi"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SAT_LO","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/sat_lo"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SD1_FAIL_TO_CLS","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/sd1_fail_to_cls"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SD1_FAIL_TO_OPN","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/sd1_fail_to_opn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SD2_FAIL_TO_CLS","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/sd2_fail_to_cls"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SD2_FAIL_TO_OPN","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/sd2_fail_to_opn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SF_RNTM","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/sf_rntm"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","ZTMP_HI","BALM","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/ztmp_hi"
